Date,Price
7/21/2021,Rp. 13.502
7/22/2021,Rp. 13.502
7/23/2021,Rp. 13.502
7/24/2021,Rp. 13.581
7/25/2021,Rp. 13.502
7/26/2021,Rp. 13.502
7/27/2021,Rp. 13.491
7/28/2021,Rp. 13.457
7/29/2021,Rp. 13.457
7/30/2021,Rp. 13.457
7/31/2021,Rp. 13.457
8/1/2021,Rp. 13.457
8/2/2021,Rp. 13.462
8/3/2021,Rp. 13.406
8/4/2021,Rp. 13.423
8/5/2021,Rp. 13.423
8/6/2021,Rp. 13.423
8/7/2021,Rp. 13.423
8/8/2021,Rp. 13.423
8/9/2021,Rp. 13.423
8/10/2021,Rp. 13.418
8/11/2021,Rp. 13.415
8/12/2021,Rp. 13.415
8/13/2021,Rp. 13.415
8/14/2021,Rp. 13.415
8/15/2021,Rp. 13.415
8/16/2021,Rp. 13.415
8/17/2021,Rp. 13.422
8/18/2021,Rp. 13.481
8/19/2021,Rp. 13.481
8/20/2021,Rp. 13.481
8/21/2021,Rp. 13.481
8/22/2021,Rp. 13.481
8/23/2021,Rp. 13.481
8/24/2021,Rp. 13.439
8/25/2021,Rp. 13.439
8/26/2021,Rp. 13.439
8/27/2021,Rp. 13.439
8/28/2021,Rp. 13.439
8/29/2021,Rp. 13.439
8/30/2021,Rp. 13.439
8/31/2021,Rp. 13.432
9/1/2021,Rp. 13.432
9/2/2021,Rp. 13.432
9/3/2021,Rp. 13.432
9/4/2021,Rp. 13.502
9/5/2021,Rp. 13.432
9/6/2021,Rp. 13.432
9/7/2021,Rp. 13.432
9/8/2021,Rp. 13.432
9/9/2021,Rp. 13.432
9/10/2021,Rp. 13.432
9/11/2021,Rp. 13.432
9/12/2021,Rp. 13.432
9/13/2021,Rp. 13.432
9/14/2021,Rp. 13.434
9/15/2021,Rp. 13.432
9/16/2021,Rp. 13.502
9/17/2021,Rp. 13.432
9/18/2021,Rp. 13.432
9/19/2021,Rp. 13.432
9/20/2021,Rp. 13.432
9/21/2021,Rp. 13.432
9/22/2021,Rp. 13.423
9/23/2021,Rp. 13.423
9/24/2021,Rp. 13.423
9/25/2021,Rp. 13.423
9/26/2021,Rp. 13.423
9/27/2021,Rp. 13.423
9/28/2021,Rp. 13.424
9/29/2021,Rp. 13.421
9/30/2021,Rp. 13.490
10/1/2021,Rp. 13.421
10/2/2021,Rp. 13.421
10/3/2021,Rp. 13.421
10/4/2021,Rp. 13.421
10/5/2021,Rp. 13.427
10/6/2021,Rp. 13.538
10/7/2021,Rp. 13.468
10/8/2021,Rp. 13.468
10/9/2021,Rp. 13.468
10/10/2021,Rp. 13.468
10/11/2021,Rp. 13.468
10/12/2021,Rp. 13.468
10/13/2021,Rp. 13.460
10/14/2021,Rp. 13.460
10/15/2021,Rp. 13.460
10/16/2021,Rp. 13.460
10/17/2021,Rp. 13.460
10/18/2021,Rp. 13.460
10/19/2021,Rp. 13.406
10/20/2021,Rp. 13.406
10/21/2021,Rp. 13.406
10/23/2021,Rp. 13.406
10/24/2021,Rp. 13.406
10/25/2021,Rp. 13.406
10/26/2021,Rp. 13.389
10/27/2021,Rp. 13.392
10/28/2021,Rp. 13.392
10/29/2021,Rp. 13.392
10/31/2021,Rp. 13.392
11/1/2021,Rp. 13.392
11/2/2021,Rp. 13.372
11/3/2021,Rp. 13.381
11/4/2021,Rp. 13.381
11/5/2021,Rp. 13.381
11/6/2021,Rp. 13.381
11/7/2021,Rp. 13.381
11/8/2021,Rp. 13.381
11/9/2021,Rp. 13.381
11/10/2021,Rp. 13.380
11/11/2021,Rp. 13.380
11/12/2021,Rp. 13.380
11/13/2021,Rp. 13.380
11/14/2021,Rp. 13.380
11/15/2021,Rp. 13.380
11/16/2021,Rp. 13.380
11/17/2021,Rp. 13.381
11/18/2021,Rp. 13.381
11/19/2021,Rp. 13.381
11/20/2021,Rp. 13.381
11/21/2021,Rp. 13.381
11/22/2021,Rp. 13.381
11/23/2021,Rp. 13.381
11/24/2021,Rp. 13.381
11/25/2021,Rp. 13.381
11/26/2021,Rp. 13.381
11/27/2021,Rp. 13.381
11/28/2021,Rp. 13.381
11/29/2021,Rp. 13.381
11/30/2021,Rp. 13.375
12/1/2021,Rp. 13.377
12/2/2021,Rp. 13.377
12/3/2021,Rp. 13.377
12/4/2021,Rp. 13.377
12/5/2021,Rp. 13.377
12/6/2021,Rp. 13.377
12/7/2021,Rp. 13.367
12/8/2021,Rp. 13.369
12/9/2021,Rp. 13.369
12/10/2021,Rp. 13.369
12/11/2021,Rp. 13.369
12/12/2021,Rp. 13.369
12/13/2021,Rp. 13.369
12/14/2021,Rp. 13.372
12/15/2021,Rp. 13.366
12/16/2021,Rp. 13.366
12/17/2021,Rp. 13.366
12/18/2021,Rp. 13.366
12/19/2021,Rp. 13.366
