Date,Price
11/17/2021,13381
11/18/2021,13381
11/19/2021,13381
11/20/2021,13381
11/21/2021,13381
11/22/2021,13381
11/23/2021,13381
11/24/2021,13381
11/25/2021,13381
11/26/2021,13381
11/27/2021,13381
11/28/2021,13381
11/29/2021,13381
11/30/2021,13375
12/1/2021,13377
12/2/2021,13377
12/3/2021,13377
12/4/2021,13377
12/5/2021,13377
12/6/2021,13377
12/7/2021,13367
12/8/2021,13369
12/9/2021,13369
12/10/2021,13369
12/11/2021,13369
12/12/2021,13369
12/13/2021,13369
12/14/2021,13372
12/15/2021,13366
12/16/2021,13366
12/17/2021,13366
12/18/2021,13366
12/19/2021,13366
12/20/2021,13366
12/21/2021,13362
12/22/2021,13356
12/23/2021,13383
12/24/2021,13383
12/25/2021,13383
12/26/2021,13383
12/27/2021,13387
12/28/2021,13383
12/29/2021,13369
12/30/2021,13369
12/31/2021,13369
1/1/2022,13369
1/2/2022,13369
1/3/2022,13364
1/4/2022,13366
1/5/2022,13372
1/6/2022,13372
1/7/2022,13372
1/8/2022,13372
1/9/2022,13372
1/10/2022,13373
1/11/2022,13367
1/12/2022,13403
1/13/2022,13403
1/14/2022,13403
1/15/2022,13403
1/16/2022,13403
1/17/2022,13403
1/18/2022,13435
1/19/2022,13438
1/20/2022,13438
1/21/2022,13438
1/22/2022,13438
1/23/2022,13438
1/24/2022,13438
1/25/2022,13436
1/26/2022,13435
1/27/2022,13435
1/28/2022,13435
1/29/2022,13435
1/30/2022,13435
1/31/2022,13435
2/1/2022,13441
2/2/2022,13445
2/3/2022,13445
2/4/2022,13445
2/5/2022,13445
2/6/2022,13445
2/7/2022,13445
2/8/2022,13445
2/9/2022,13444
2/10/2022,13444
2/11/2022,13444
2/12/2022,13444
2/13/2022,13444
2/14/2022,13441
2/15/2022,13444
2/16/2022,13444
2/17/2022,13444
2/18/2022,13444
2/19/2022,13444
2/20/2022,13444
2/21/2022,13444
2/22/2022,13448
2/23/2022,13452
2/24/2022,13452
2/25/2022,13452
2/26/2022,13452
2/27/2022,13452
2/28/2022,13452
3/1/2022,13327
3/2/2022,13350
3/3/2022,13350
3/4/2022,13350
3/5/2022,13350
3/6/2022,13350
3/7/2022,13350
3/8/2022,13332
3/9/2022,13332
3/10/2022,13332
3/11/2022,13332
3/12/2022,13332
3/13/2022,13332
3/14/2022,13332
3/15/2022,13338
3/16/2022,13338
3/17/2022,13338
3/18/2022,13338
3/19/2022,13338
3/20/2022,13338
3/21/2022,13338
3/22/2022,13338
3/23/2022,13341
3/24/2022,13341
3/25/2022,13341
3/26/2022,13341
3/27/2022,13341
3/28/2022,13341
3/29/2022,13341
3/30/2022,13332
3/31/2022,13332
4/1/2022,13332
4/2/2022,13332
4/3/2022,13332
4/4/2022,13332
4/5/2022,13332
4/6/2022,13333
4/7/2022,13319
4/8/2022,13319
4/9/2022,13319
4/10/2022,13319
4/11/2022,13319
4/12/2022,13319
4/13/2022,13355
4/14/2022,13355
4/15/2022,13355
4/16/2022,13355
4/17/2022,13355
4/18/2022,13355
4/19/2022,13355
4/20/2022,13356
4/21/2022,13356
4/22/2022,13356
4/23/2022,13356
4/24/2022,13356
4/25/2022,13356
4/26/2022,13347
4/27/2022,13353
4/28/2022,13353
4/29/2022,13353
4/30/2022,13353
5/1/2022,13353
5/2/2022,13353
5/3/2022,13373
5/4/2022,13374
5/5/2022,13420
5/6/2022,13410
5/7/2022,13410
5/8/2022,13413
5/9/2022,13400
5/10/2022,13400
5/11/2022,13368
5/12/2022,13368
5/13/2022,13368
5/14/2022,13368
5/15/2022,13368
5/16/2022,13368
5/17/2022,13362
5/18/2022,13362
5/19/2022,13362
5/20/2022,13362
5/21/2022,13362
5/22/2022,13362
5/23/2022,13362
5/24/2022,13361
5/25/2022,13347
5/26/2022,13347
5/27/2022,13347
5/28/2022,13347
5/29/2022,13347
5/30/2022,13347
5/31/2022,13289
6/1/2022,13289
6/2/2022,13289
6/3/2022,13289
6/4/2022,13289
6/5/2022,13289
6/6/2022,13289
6/7/2022,13294
6/8/2022,13295
6/9/2022,13295
6/10/2022,13295
6/11/2022,13362
6/12/2022,13295
6/13/2022,13295
6/14/2022,13353
6/15/2022,13352
6/16/2022,13352
6/17/2022,13352
6/18/2022,13352
6/19/2022,13352
6/20/2022,13352
6/21/2022,13348
6/22/2022,13347
6/23/2022,13347
6/24/2022,13347
6/25/2022,13347
6/26/2022,13347
6/27/2022,13347
6/28/2022,13347
6/29/2022,13350
6/30/2022,13350
7/1/2022,13350
7/2/2022,13350
7/3/2022,13350
7/4/2022,13350
7/5/2022,13342
7/6/2022,13342
7/7/2022,13342
7/8/2022,13342
7/9/2022,13342
7/10/2022,13342
7/11/2022,13342
7/12/2022,13342
7/13/2022,13317
7/14/2022,13317
7/15/2022,13317
7/16/2022,13317
7/17/2022,384
7/18/2022,13317
7/19/2022,13317
7/20/2022,13341
7/21/2022,13341
7/22/2022,13341
7/23/2022,13341
7/24/2022,13341
7/25/2022,13330
7/26/2022,13305
7/27/2022,13309
7/28/2022,13309
7/29/2022,13309
7/30/2022,13309
7/31/2022,13309
8/1/2022,13309
8/2/2022,13295
8/3/2022,13288
8/4/2022,13314
8/5/2022,13314
8/6/2022,13314
8/7/2022,13314
8/8/2022,13314
8/9/2022,13314
8/10/2022,13314
8/11/2022,13314
8/12/2022,13348
8/13/2022,13348
8/14/2022,13348
8/15/2022,13348
8/16/2022,13348
8/17/2022,13348
8/18/2022,13348
8/19/2022,13348
8/20/2022,13348
8/21/2022,13348
8/22/2022,13348
8/23/2022,13353
8/24/2022,13353
8/25/2022,13353
8/26/2022,13353
8/27/2022,13353
8/28/2022,13353
8/29/2022,13353
8/30/2022,13353
8/31/2022,13350
9/1/2022,13350
9/2/2022,13350
9/3/2022,13350
9/4/2022,13350
9/5/2022,13353
9/6/2022,13355
9/7/2022,13365
9/8/2022,13365
9/9/2022,13365
9/10/2022,13365
9/11/2022,13365
9/12/2022,13365
9/13/2022,13365
9/14/2022,13361
9/15/2022,13361
9/16/2022,13361
9/17/2022,13361
9/18/2022,13361
9/19/2022,13364
9/20/2022,13373
9/21/2022,13373
9/22/2022,13373
9/23/2022,13373
9/24/2022,13373
9/25/2022,13430
9/26/2022,13373
9/27/2022,13379
9/28/2022,13480
9/29/2022,13480
9/30/2022,13480
10/1/2022,13480
10/2/2022,13480
10/3/2022,13477
10/4/2022,13528
10/5/2022,13531
10/6/2022,13531
10/7/2022,13531
10/8/2022,13531
10/9/2022,13531
10/10/2022,13531
10/11/2022,13486
10/12/2022,13503
10/13/2022,13503
10/14/2022,13503
10/15/2022,13503
10/16/2022,13503
10/17/2022,13503
10/18/2022,13503
10/19/2022,13524
10/20/2022,13524
10/21/2022,13524
10/22/2022,13524
10/23/2022,13524
10/24/2022,13524
10/25/2022,13532
10/26/2022,13530
10/27/2022,13530
10/28/2022,13530
10/29/2022,13530
10/30/2022,13530
10/31/2022,13530
11/1/2022,13512
11/2/2022,13509
11/3/2022,13509
11/4/2022,13509
11/5/2022,13509
11/6/2022,13509
11/7/2022,13509
11/8/2022,13509
11/9/2022,13509
11/10/2022,13509
11/11/2022,13509
11/12/2022,13509
11/13/2022,13509
11/14/2022,13509
11/15/2022,13509
11/16/2022,13521
11/17/2022,13521
11/18/2022,13521
11/19/2022,13521
11/20/2022,13521
11/21/2022,13521
11/22/2022,13521
11/23/2022,13532
11/24/2022,13532
11/25/2022,13532
11/26/2022,13532
11/27/2022,13532
11/28/2022,13532
11/29/2022,13548
11/30/2022,13548
12/1/2022,13548
12/2/2022,13548
12/3/2022,13548
12/4/2022,13548
12/5/2022,13548
12/6/2022,13553
12/7/2022,13567
12/8/2022,13567
12/9/2022,13567
12/10/2022,13567
12/11/2022,13567
12/12/2022,13568
12/13/2022,13583
12/14/2022,13592
12/15/2022,13592
12/16/2022,13592
12/17/2022,13592
12/18/2022,13592
12/19/2022,13594
12/20/2022,13595
12/21/2022,13644
12/22/2022,13644
12/23/2022,13644
12/24/2022,13644
12/25/2022,13644
12/26/2022,13644
12/27/2022,13642
12/28/2022,13655
12/29/2022,13655
12/30/2022,13655
12/31/2022,13655
1/1/2023,13655
1/2/2023,13645
1/3/2023,13574
1/4/2023,13525
1/5/2023,13525
1/6/2023,13525
1/7/2023,13525
1/8/2023,13525
1/9/2023,13525
1/10/2023,13577
1/11/2023,13555
1/12/2023,13555
1/13/2023,13555
1/14/2023,13555
1/15/2023,13555
1/16/2023,13555
1/17/2023,13564
1/18/2023,13564
1/19/2023,13564
1/20/2023,13564
1/21/2023,13564
1/22/2023,13564
1/23/2023,13564
1/24/2023,13600
1/25/2023,13619
1/26/2023,13617
1/27/2023,13617
1/28/2023,13617
1/29/2023,13617
1/30/2023,13606
1/31/2023,13656
2/1/2023,13658
2/2/2023,13658
2/3/2023,13658
2/4/2023,13658
2/5/2023,13658
2/6/2023,13658
2/7/2023,13668
2/8/2023,13677
2/9/2023,13682
2/10/2023,13682
2/11/2023,13682
2/12/2023,13682
2/13/2023,13682
2/14/2023,13692
2/15/2023,13698
2/16/2023,13698
2/17/2023,13698
2/18/2023,13698
2/19/2023,13698
2/20/2023,13698
2/21/2023,13711
2/22/2023,13752
2/23/2023,13752
2/24/2023,13752
2/25/2023,13752
2/26/2023,13752
2/27/2023,13739
2/28/2023,13752
3/1/2023,13771
3/2/2023,13771
3/3/2023,13771
3/4/2023,13771
3/5/2023,13771
3/6/2023,13819
3/7/2023,13789
3/8/2023,13791
3/9/2023,13791
3/10/2023,13791
3/11/2023,13791
3/12/2023,13791
3/13/2023,13792
3/14/2023,13798
3/15/2023,13821
3/16/2023,13821
3/17/2023,13821
3/18/2023,13821
3/19/2023,13821
3/20/2023,13821
3/21/2023,13827
3/22/2023,13841
3/23/2023,13841
3/24/2023,13841
3/25/2023,13841
3/26/2023,13841
3/27/2023,13841
3/28/2023,13876
3/29/2023,13897
3/30/2023,13897
3/31/2023,13897
4/1/2023,13897
4/2/2023,13897
4/3/2023,13897
4/4/2023,13956
4/5/2023,14015
4/6/2023,14017
4/7/2023,14017
4/8/2023,14017
4/9/2023,14017
4/10/2023,14017
4/11/2023,14062
4/12/2023,14096
4/13/2023,14096
4/14/2023,14096
4/15/2023,14096
4/16/2023,14096
4/17/2023,14096
4/18/2023,14114
4/19/2023,14117
4/20/2023,14163
4/21/2023,14163
4/22/2023,14163
4/23/2023,14163
4/24/2023,14163
4/25/2023,14174
4/26/2023,14170
4/27/2023,14170
4/28/2023,14170
4/29/2023,14170
4/30/2023,14170
5/1/2023,14170
5/2/2023,14176
5/3/2023,14177
5/4/2023,14177
5/5/2023,14177
5/6/2023,14177
5/7/2023,14177
5/8/2023,14165
5/9/2023,14167
5/10/2023,14324
5/11/2023,14324
5/12/2023,14324
5/13/2023,14324
5/14/2023,14324
5/15/2023,14324
5/16/2023,14324
5/17/2023,14333
5/18/2023,14333
5/19/2023,14333
5/20/2023,14333
5/21/2023,14333
5/22/2023,14333
5/23/2023,14353
5/24/2023,14420
5/25/2023,14420
5/26/2023,14420
5/27/2023,14420
5/28/2023,14420
5/29/2023,14420
5/30/2023,14420
5/31/2023,14420
6/1/2023,14436
6/2/2023,14436
6/3/2023,14436
6/4/2023,14436
6/5/2023,14436
6/6/2023,14436
6/7/2023,14448
6/8/2023,14448
6/9/2023,14448
6/10/2023,14448
6/11/2023,14448
6/12/2023,14448
6/13/2023,14444
6/14/2023,14450
6/15/2023,14450
6/16/2023,14450
6/17/2023,14450
6/18/2023,14450
6/19/2023,14450
6/20/2023,14452
6/21/2023,14462
6/22/2023,14462
6/23/2023,14462
6/24/2023,14462
6/25/2023,14462
6/26/2023,14462
6/27/2023,14452
6/28/2023,14462
6/29/2023,14462
6/30/2023,14462
7/1/2023,14462
7/2/2023,14462
7/3/2023,14432
7/4/2023,14459
7/5/2023,14470
7/6/2023,14470
7/7/2023,14470
7/8/2023,14470
7/9/2023,14470
7/10/2023,14470
7/11/2023,14442
7/12/2023,14452
7/13/2023,14452
7/14/2023,14452
7/15/2023,14452
7/16/2023,14452
7/17/2023,14452
7/18/2023,14447
7/19/2023,14448
7/20/2023,14439
7/21/2023,14439
7/22/2023,14439
7/23/2023,14439
7/24/2023,14439
7/25/2023,14470
7/26/2023,14505
7/27/2023,14505
7/28/2023,14505
7/29/2023,14505
7/30/2023,14505
7/31/2023,14505
8/1/2023,14482
8/2/2023,14452
8/3/2023,
8/4/2023,14473
8/5/2023,0
8/6/2023,0
8/7/2023,14473
8/8/2023,14493
8/9/2023,14411
8/10/2023,14411
8/11/2023,14411
8/12/2023,14411
8/13/2023,14411
8/14/2023,14411
8/15/2023,14412
8/16/2023,14400
8/17/2023,14400
8/18/2023,14400
8/19/2023,14400
8/20/2023,14400
8/21/2023,14400
8/22/2023,14426
8/23/2023,14425
8/24/2023,14425
8/25/2023,14425
8/26/2023,14425
8/27/2023,14425
8/28/2023,14425
8/29/2023,14505
8/30/2023,14491
8/31/2023,14491
9/1/2023,14491
9/2/2023,14491
9/3/2023,14491
9/4/2023,14491
9/5/2023,14652
9/6/2023,14725
9/7/2023,14725
9/8/2023,14725
9/9/2023,14725
9/10/2023,14725
9/11/2023,14725
9/12/2023,14741
9/13/2023,14780
9/14/2023,14780
9/15/2023,14780
9/16/2023,14780
9/17/2023,14780
9/18/2023,14831
9/19/2023,14783
9/20/2023,14818
9/21/2023,14818
9/22/2023,14818
9/23/2023,14818
9/24/2023,14818
9/25/2023,14818
9/26/2023,14871
9/27/2023,14898
9/28/2023,14898
9/29/2023,14898
9/30/2023,14898
10/1/2023,14898
10/2/2023,14898
10/3/2023,14908
10/4/2023,14921
10/5/2023,14921
10/6/2023,14921
10/7/2023,14921
10/8/2023,14921
10/9/2023,14921
10/10/2023,14942
10/11/2023,14967
10/12/2023,14967
10/13/2023,14967
10/14/2023,14967
10/15/2023,14967
10/16/2023,14967
10/17/2023,15035
10/18/2023,15061
10/19/2023,15061
10/20/2023,15050
10/21/2023,15050
10/22/2023,15050
10/23/2023,15050
10/24/2023,15011
10/25/2023,15086
10/26/2023,15035
10/27/2023,15035
10/28/2023,15035
10/29/2023,15035
10/30/2023,15035
10/31/2023,15071
11/1/2023,15021
11/2/2023,15021
11/3/2023,15021
11/4/2023,0
11/5/2023,0
11/6/2023,15021
11/7/2023,15021
11/8/2023,15006
11/9/2023,15006
11/10/2023,15006
11/11/2023,15006
11/12/2023,15006
11/13/2023,15006
11/14/2023,15026
11/15/2023,15064
11/16/2023,15064
11/17/2023,15064
11/18/2023,15064
11/19/2023,15064
11/20/2023,15064
11/21/2023,15067
11/22/2023,15067
11/23/2023,15067
11/24/2023,15067
11/25/2023,15067
11/26/2023,15067
11/27/2023,15067
11/28/2023,15067
11/29/2023,15122
11/30/2023,15216
12/1/2023,15216
12/2/2023,15216
12/3/2023,15216
12/4/2023,15216
12/5/2023,15216
12/6/2023,15225
12/7/2023,15247
12/8/2023,15073
12/9/2023,15073
12/10/2023,15073
12/11/2023,15050
12/12/2023,15050
12/13/2023,15194
12/14/2023,15005
12/15/2023,15005
12/16/2023,15005
12/17/2023,15005
12/18/2023,15005
12/19/2023,15005
12/20/2023,15079
